World,Generation,Fitness,BaseRate,KinChange,CoopChange,DefectChange,GroupChange
0,0,236.89,-0.1797,0.0663,-0.1417,-0.0131,-0.0878
0,1,268.09,-0.1913,0.181,-0.0993,-0.0008,-0.0134
0,2,299.65,-0.1703,0.1029,0.1227,0.0246,-0.0315
0,3,378.34,-0.1403,0.1721,0.2038,0.1349,0.0791
0,4,433.27,-0.1534,0.3329,0.3673,0.187,0.1319
0,5,485.68,0.0538,0.3949,0.3562,0.2349,0.1756
0,6,553.24,0.062,0.3387,0.4657,0.3786,0.0982
0,7,531.31,0.1222,0.3231,0.4117,0.3366,0.121
0,8,538.63,0.1459,0.3226,0.3564,0.3512,0.1204
0,9,526.36,0.1194,0.277,0.3151,0.3362,0.0997
0,10,511.84,0.108,0.268,0.2793,0.3311,0.092
0,11,538.09,0.2023,0.2478,0.2246,0.4022,-0.0403
0,12,502.66,0.1807,0.241,0.2488,0.2758,0.0007
0,13,480.4,0.1453,0.1525,0.2287,0.2868,-0.0932
0,14,544.42,0.1409,0.2422,0.2645,0.3316,-0.119
0,15,565.54,0.1164,0.2896,0.3386,0.3664,-0.2421
0,16,548.32,-0.0095,0.3003,0.3153,0.4259,-0.2015
0,17,564.82,0.0005,0.2307,0.3335,0.4832,-0.1537
0,18,642.58,0.1,0.2706,0.3647,0.4696,-0.1116
0,19,636.52,0.1683,0.2693,0.3833,0.3543,-0.0907
0,20,749.68,0.2597,0.3628,0.375,0.2852,0.0281
0,21,727.75,0.3226,0.3644,0.2899,0.3031,-0.0075
0,22,744.58,0.3866,0.3508,0.3095,0.3292,0.077
0,23,743.02,0.3417,0.3587,0.2901,0.3364,0.1197
0,24,677.5,0.3257,0.3859,0.2647,0.2874,0.1117
0,25,645.46,0.2552,0.3696,0.2775,0.3113,-0.0097
0,26,620.98,0.2417,0.3201,0.2542,0.2505,-0.009
0,27,606.43,0.2564,0.2795,0.2696,0.2364,0.0309
0,28,561.19,0.2589,0.3087,0.2334,0.2606,-0.0455
0,29,588.28,0.3017,0.2742,0.1446,0.3094,-0.0337
0,30,645.25,0.2791,0.3636,0.2112,0.3555,-0.1253
0,31,641.68,0.2604,0.3655,0.2569,0.2826,-0.0585
0,32,607.93,0.2501,0.3871,0.2409,0.2344,0.0446
0,33,580.27,0.2211,0.3647,0.1871,0.1921,0.1691
0,34,529.09,0.2293,0.2963,0.2092,0.1285,0.2117
0,35,607.33,0.3485,0.1996,0.2309,0.1904,0.1633
0,36,586.45,0.3373,0.1353,0.2625,0.1227,0.1741
0,37,650.92,0.3528,0.1418,0.3061,0.2668,0.152
0,38,655.9,0.3264,0.1346,0.307,0.3561,0.1092
0,39,631.93,0.2672,0.1838,0.3425,0.2787,0.1515
0,40,609.4,0.2374,0.2159,0.3772,0.1731,0.1976
0,41,608.32,0.2343,0.1127,0.4037,0.2063,0.2222
0,42,591.13,0.1771,0.1916,0.3391,0.1806,0.1583
0,43,570.19,0.2108,0.1545,0.3037,0.2724,0.0895
0,44,578.14,0.2447,0.1396,0.307,0.1711,0.1725
0,45,620.83,0.2516,0.1878,0.3319,0.1598,0.1713
0,46,631.96,0.2575,0.1975,0.3564,0.155,0.2102
0,47,590.89,0.207,0.1561,0.3744,0.1781,0.1909
0,48,547.96,0.2357,0.0753,0.3074,0.1614,0.2052
0,49,568.27,0.2206,-0.0146,0.3132,0.1358,0.3065
0,50,541.24,0.1746,0.0149,0.2465,0.1971,0.3324
0,51,575.5,0.2413,-0.0267,0.315,0.1557,0.3582
0,52,627.13,0.2279,0.0591,0.3398,0.2462,0.2283
0,53,651.7,0.2339,0.1523,0.4126,0.2003,0.1171
0,54,654.22,0.2598,0.2465,0.3714,0.162,0.0742
0,55,610.03,0.2609,0.299,0.3864,0.2095,0.0001
0,56,648.94,0.2284,0.3191,0.3906,0.2263,0.006
0,57,662.02,0.219,0.3924,0.3708,0.2254,0.0256
0,58,672.43,0.2515,0.4708,0.3163,0.176,0.0349
0,59,670.75,0.2605,0.4764,0.2911,0.1423,0.0501
0,60,732.76,0.2919,0.4716,0.3164,0.1917,0.1416
0,61,693.85,0.2,0.409,0.3293,0.1981,0.1792
0,62,681.37,0.2461,0.3617,0.2887,0.2505,0.143
0,63,702.7,0.1868,0.3671,0.4248,0.2124,0.0883
0,64,627.25,0.1838,0.2243,0.3289,0.2344,0.1757
0,65,638.83,0.1517,0.2769,0.3696,0.2787,0.1553
0,66,648.76,0.205,0.3112,0.3338,0.1974,0.178
0,67,628.09,0.1794,0.3056,0.3678,0.2007,0.1835
0,68,575.47,0.1042,0.3733,0.2584,0.1696,0.2253
0,69,577.03,0.1968,0.4546,0.1757,0.131,0.1651
0,70,604.12,0.2776,0.4859,0.2057,0.0685,0.0898
0,71,577.03,0.2308,0.4232,0.3062,0.049,0.0434
0,72,642.1,0.2503,0.4489,0.3414,0.0846,0.1071
0,73,620.77,0.2888,0.3704,0.3118,0.1317,0.1319
0,74,640.21,0.2594,0.439,0.2696,0.1312,0.1462
0,75,567.4,0.1539,0.4821,0.1684,0.1048,0.1755
0,76,583.24,0.2141,0.4512,0.1975,0.1753,0.1754
0,77,574.84,0.2075,0.4196,0.165,0.1709,0.1795
0,78,565.93,0.193,0.4161,0.1743,0.2094,0.0648
0,79,587.56,0.1638,0.3623,0.2014,0.3162,0.0746
0,80,602.95,0.2029,0.3706,0.2333,0.2843,0.1835
0,81,641.89,0.2811,0.4182,0.2391,0.3573,0.1493
0,82,646.69,0.2718,0.3779,0.237,0.3669,0.1286
0,83,638.86,0.2244,0.315,0.3015,0.3828,0.101
0,84,642.52,0.1954,0.2629,0.337,0.3588,0.1792
0,85,606.94,0.2615,0.2377,0.3036,0.3025,0.1801
