Generation,Mean_Fitness,Mean_BaseRate,Mean_KinChange,Mean_CoopChange,Mean_DefectChange,Mean_GroupChange,SD_Fitness,SD_BaseRate,SD_KinChange,SD_CoopChange,SD_DefectChange,SD_GroupChange
0,190.08,0.0289,0.0298,-0.086,0.0176,0.014,55.6723773518,0.623959766331,0.591061722665,0.612507959132,0.595521821599,0.564021276194
1,169.89,-0.0656,0.0076,-0.0442,-0.0873,0.0354,47.033582683,0.56410162205,0.59195628217,0.637671043721,0.601191907797,0.581538339235
2,162.32,-0.1299,-0.0797,-0.0269,-0.0444,0.0487,47.1580067433,0.496597412398,0.601485585862,0.628284481744,0.55956647505,0.540939284948
3,162.4,-0.1032,-0.1004,-0.0572,-0.1464,0.0207,41.9454407534,0.545708493612,0.612248184971,0.580901161989,0.581920131977,0.556448119774
4,150.88,-0.1549,-0.1111,-0.0345,-0.226,0.0161,38.1919572685,0.536549149659,0.632692492448,0.548451228461,0.548233526884,0.598726807484
5,141.18,-0.2941,-0.0693,-0.078,-0.1865,0.0819,33.6007083259,0.461341728006,0.613195327771,0.597683862924,0.545615936351,0.610178162507
6,138.55,-0.3138,-0.0522,-0.0845,-0.1773,0.1581,33.6482911899,0.439187385976,0.593617014581,0.575703699832,0.547800794085,0.617047315852
7,142.7,-0.2749,0.0004,-0.1093,-0.1938,0.1566,35.3797964946,0.490315194543,0.586610467005,0.595950090192,0.567205042291,0.613465924074
8,131.72,-0.3446,0.0172,-0.1035,-0.2742,0.1977,28.2039288043,0.401572957257,0.620361314074,0.574463880501,0.548288573654,0.613538678487
9,133.23,-0.314,0.0795,-0.0809,-0.3642,0.2691,33.00328923,0.447233719659,0.609715302416,0.524983990232,0.573705813113,0.599384842985
10,142.97,-0.2767,0.0723,-0.0816,-0.2985,0.3248,34.2343263407,0.492954470514,0.625769694057,0.483304707198,0.577439823705,0.564831797972
11,129.92,-0.3874,0.0376,-0.0202,-0.3909,0.3559,29.163909203,0.442598282871,0.632653333193,0.46677827713,0.491135612637,0.555433335334
12,135.59,-0.3488,0.0346,0.0047,-0.376,0.3865,31.5899018675,0.486650346758,0.624755023989,0.457813182423,0.529903764848,0.532064610738
13,128.72,-0.4339,-0.0819,0.016,-0.3045,0.407,31.4216740483,0.397021145533,0.613399861428,0.451262672952,0.515001699026,0.500168971449
14,131.49,-0.3733,0.007,0.0494,-0.3437,0.2952,29.8273347787,0.437691797958,0.589609192601,0.439187477053,0.503117590629,0.579353916013
15,128.56,-0.3763,-0.0423,0.095,-0.3546,0.2823,24.89631298,0.39855904205,0.585856390253,0.507108469659,0.511142680668,0.568418604551
16,136.33,-0.3532,-0.0171,0.1356,-0.4083,0.2974,31.5128719732,0.449917503549,0.541062464046,0.482405058017,0.532967269164,0.541534154048
17,132.5,-0.3767,0.0059,0.0936,-0.367,0.23,35.1708686273,0.462834862559,0.560280456557,0.464244590706,0.552355863552,0.569870160651
18,136.53,-0.3753,-0.0725,0.0898,-0.3382,0.1439,35.6837371922,0.47710681194,0.518832101937,0.440948931283,0.580801825066,0.587977712163
19,138.43,-0.3361,-0.0647,0.0833,-0.316,0.1665,37.5377823,0.491894084128,0.56035605645,0.461794445614,0.587263143744,0.57536836027
20,134.55,-0.3917,-0.0865,0.0705,-0.2933,0.1211,31.3057103417,0.459815299876,0.535606898761,0.440511918113,0.575030529624,0.616640730085
21,138.63,-0.3467,-0.0419,0.1122,-0.2108,0.1701,34.3655801639,0.464874294837,0.522791918453,0.461080426824,0.634204509602,0.620192703924
22,138.78,-0.3491,-0.0599,0.132,-0.2109,0.1822,35.6509691313,0.449684544987,0.499118212451,0.451785347261,0.630461886239,0.650000892307
23,136.81,-0.411,-0.0508,0.0864,-0.1448,0.0825,38.8269738713,0.456023025734,0.46735998973,0.502986123069,0.644795285343,0.667644179185
24,125.98,-0.4742,-0.1243,0.1053,-0.167,0.1869,26.14,0.434039583448,0.471207502063,0.469975435528,0.575945309904,0.655632053823
25,128.13,-0.4642,-0.0887,0.0566,-0.1331,0.2167,30.7966410506,0.408759538115,0.517170484463,0.4857349483,0.592372678303,0.664832392412
26,124.87,-0.4488,-0.1051,-0.0085,-0.2275,0.1358,24.3119949819,0.39769656775,0.485098948669,0.535416426718,0.573158573172,0.660010878698
27,134.7,-0.3881,-0.1095,-0.0819,-0.18,0.1727,35.4898577061,0.447825177943,0.461803800331,0.520451140838,0.572274409702,0.644664028778
28,132.94,-0.281,-0.1002,-0.1537,-0.1998,0.1366,34.5846266425,0.475223105499,0.493827864746,0.496827243617,0.552575750463,0.681227157415
29,137.94,-0.3093,-0.0919,-0.1076,-0.1703,0.136,38.6204142909,0.470857207654,0.459176861351,0.492745613882,0.559402279223,0.673588895395
30,140.41,-0.3111,0.0199,-0.0954,-0.1391,0.0838,39.004383087,0.446812925059,0.491126246499,0.483316500856,0.608169540507,0.679857014379
31,145.72,-0.2513,-0.0763,-0.1447,-0.0248,0.112,40.9536518518,0.505010207818,0.481351545131,0.480654668135,0.593478693805,0.660293873968
32,142.0,-0.285,-0.0789,-0.0875,-0.0463,0.1367,34.2073091605,0.458542255414,0.481732072837,0.480631615689,0.548090603824,0.68361254377
33,144.88,-0.2463,-0.1709,-0.204,-0.0694,0.1046,36.8446142604,0.50693126753,0.513688806575,0.48364863279,0.587341161507,0.743457355872
34,140.84,-0.2111,-0.1829,-0.1524,-0.1523,0.0257,36.0471136154,0.507335973493,0.556516477743,0.511593823262,0.587974242633,0.723326005339
35,150.86,-0.1996,-0.2101,-0.1165,-0.0649,-0.0248,40.901349611,0.477731975066,0.530822936581,0.530308165127,0.600856879798,0.711261527147
36,137.72,-0.2492,-0.2423,-0.1391,-0.1726,0.1627,39.1438577557,0.453785588136,0.528397303173,0.502816258687,0.553365376582,0.648999006163
