World,Generation,Fitness,BaseRate,KinChange,CoopChange,DefectChange,GroupChange
0,0,159.08,-0.1797,0.0663,-0.1417,-0.0131,-0.0878
0,1,163.53,-0.1624,0.014,-0.1131,0.0239,0.0119
0,2,150.42,-0.2543,-0.0843,-0.2561,0.0414,-0.0113
0,3,142.96,-0.3465,-0.0283,-0.1212,0.0486,-0.0685
0,4,143.84,-0.3141,-0.0286,-0.1232,0.1177,-0.0258
0,5,147.81,-0.3216,-0.0571,-0.0423,0.1583,-0.1324
0,6,138.6,-0.324,-0.0618,-0.1353,0.1429,-0.2496
0,7,132.04,-0.3429,-0.0185,-0.1959,0.0982,-0.3204
0,8,129.01,-0.4049,0.0241,-0.164,0.0096,-0.352
0,9,131.29,-0.3907,-0.0465,-0.2511,0.0536,-0.3308
0,10,133.06,-0.4089,-0.063,-0.1881,0.0096,-0.2479
0,11,127.39,-0.4398,0.0168,-0.1823,-0.0241,-0.2989
0,12,125.89,-0.4454,-0.0531,-0.0756,0.0775,-0.3525
0,13,128.69,-0.4164,-0.0148,-0.177,0.0427,-0.3765
0,14,128.02,-0.4012,-0.1503,-0.3104,0.0935,-0.3713
0,15,121.63,-0.4352,-0.0373,-0.3923,0.144,-0.3874
0,16,129.87,-0.4198,-0.0115,-0.3569,0.1555,-0.2633
0,17,119.26,-0.4437,-0.0105,-0.4262,0.1019,-0.3314
0,18,129.13,-0.3431,0.012,-0.4449,0.0401,-0.2958
0,19,120.31,-0.3858,0.0258,-0.386,0.0133,-0.3337
0,20,134.38,-0.2812,-0.0364,-0.4271,0.0716,-0.2335
0,21,139.6,-0.2891,0.0824,-0.4699,0.0818,-0.1968
0,22,143.08,-0.2856,0.0969,-0.5086,0.0665,-0.2305
0,23,142.03,-0.3021,0.1565,-0.4133,0.0158,-0.2414
0,24,138.48,-0.4076,0.1921,-0.3672,0.1259,-0.1923
0,25,138.6,-0.4729,0.2274,-0.2876,0.1006,-0.0548
0,26,139.27,-0.4929,0.1855,-0.2695,0.1887,-0.0316
0,27,130.69,-0.4916,0.2761,-0.2458,0.2021,-0.0732
0,28,137.92,-0.4972,0.2142,-0.2377,0.2001,0.0102
0,29,135.91,-0.4722,0.2492,-0.1694,0.2035,-0.0607
0,30,143.94,-0.425,0.1773,-0.0538,0.1839,-0.0648
0,31,133.15,-0.4953,0.186,-0.1223,0.1582,-0.0386
0,32,132.58,-0.5037,0.112,-0.1818,0.1945,-0.149
0,33,141.76,-0.4542,0.1788,-0.2047,0.2136,-0.1224
0,34,134.48,-0.531,0.0946,-0.2365,0.2346,-0.0749
0,35,131.78,-0.4633,0.0572,-0.2888,0.2367,-0.167
0,36,128.26,-0.5081,0.0306,-0.2709,0.1393,-0.1865
0,37,126.47,-0.4764,0.0356,-0.2026,0.1107,-0.2723
0,38,137.97,-0.4676,0.1242,-0.2282,1.73472347598e-18,-0.1269
0,39,138.42,-0.4212,0.0907,-0.1697,0.0029,-0.1806
0,40,134.05,-0.4909,0.1559,-0.125,-0.0425,-0.288
0,41,122.96,-0.5636,0.0771,0.0017,-0.0817,-0.2408
0,42,122.81,-0.4986,0.0411,-0.0255,-0.0178,-0.2416
0,43,129.19,-0.5222,0.0772,-0.0785,0.0118,-0.1512
0,44,129.4,-0.52,0.0804,-0.001,-0.0718,-0.206
0,45,123.58,-0.558,0.1558,-0.1022,-0.1558,-0.2732
0,46,120.16,-0.6134,0.1102,-0.0429,-0.1198,-0.2858
